date	op1_price	op2_price	p_price	op1_load	op2_load	p_load	op1_wind	op2_wind	p_wind	op1_res	op2_res	p_res	op1_wind_pen	op2_wind_pen	p_wind_pen	op1_res_pen	op2_res_pen	p_res_pen	op1_exp	op2_exp	p_exp	p_solar	p_solar_pen
01/01/12	2.612456648	3.243958605	2.930971505	10.47148951	10.67291267	10.63403287	8.742720699	9.354196747	9.212971408	8.742785043	9.354196747	9.247941906	-1.709410404	-1.312863858	-1.409941464	-1.709341032	-1.312863858	-1.374004822	-0.41965625	-0.650375	-0.716229167	5.877257143	-4.717917167
02/01/12	2.076154897	3.618591101	3.909887393	10.53246948	10.90223807	11.03184336	9.335771641	9.223923453	9.0730591	9.335806925	9.223923453	9.128632497	-1.160259006	-1.671292211	-1.956347813	-1.160234378	-1.671292211	-1.90097566	0.48175	-1.32875	-1.8	6.21092382	-4.822212448
03/01/12	3.337502949	3.29759458	3.744097329	10.74524599	10.89188032	11.04200942	9.293439251	10.027801	9.940354215	9.293477211	10.027801	10.0046665	-1.452676721	-0.860721973	-1.102935911	-1.452645479	-0.860721973	-1.038628742	-1.8	-0.41925	-1.225833333	7.228678081	-3.814694185
04/01/12	2.379661868	3.400280295	3.853015825	10.74226799	10.91825164	11.04929084	9.95164597	10.00731736	9.96006848	9.95165818	10.00731736	10.01313452	-0.778595956	-0.90562561	-1.088593062	-0.77858624	-0.90562561	-1.03544145	0.538375	0.286	0.295833333	7.05050081	-3.996506393
06/01/12	2.760800766	3.782028209	3.857302793	10.72611575	10.88495254	10.99275072	9.782527734	9.146399272	9.305870679	9.782549071	9.146399272	9.406239097	-0.933677978	-1.731823527	-1.682407067	-0.933659798	-1.731823527	-1.582507038	0.95975	0.5065	0.206833333	7.057566916	-3.935626548
07/01/12	3.136743435	3.43018968	3.676427246	10.66472845	10.79657107	10.88771727	9.46945436	9.599175634	9.634375158	9.469478235	9.599175634	9.651776367	-1.191236368	-1.196363871	-1.251489357	-1.191213153	-1.196363871	-1.234120629	1.5725	1.472	0.661916667	5.591872782	-5.295876312
08/01/12	1.27186507	3.740700734	3.617271559	10.561943	10.81706962	10.80716068	9.553852236	8.498580036	9.162791899	9.553887478	8.498580036	9.21585493	-1.008007292	-2.319956939	-1.625485899	-1.007972005	-2.319956939	-1.573047121	1.65	0.45225	0.101916667	6.253165932	-4.547260867
09/01/12	3.638506788	3.76607195	4.026363084	10.77497703	10.96319008	11.14147886	8.128762176	9.100336593	8.599612304	8.12890871	9.100336593	8.675501289	-2.622810044	-1.854144011	-2.542019116	-2.622703845	-1.854144011	-2.46651537	-1.58825	2.30925	-0.999166667	6.059313014	-5.087602729
10/01/12	3.533431058	3.768960623	3.994048362	10.79543436	10.98558929	11.11480457	9.282713125	8.769781364	8.70024809	9.282760215	8.769781364	8.863789659	-1.484151642	-2.207903211	-2.412546938	-1.484116334	-2.207903211	-2.248051341	1.01025	2.15875	-0.548	6.972444961	-4.134043415
11/01/12	3.630057893	3.884137802	3.994800432	10.83956375	10.97768334	11.11725473	9.031676667	9.009262816	9.12281841	9.031753258	9.009262816	9.218192712	-1.800938064	-1.958979917	-1.993621332	-1.800878513	-1.958979917	-1.897957857	1.4055	1.5855	0.99225	6.820938429	-4.292327029
12/01/12	3.607533815	3.799749763	3.844332856	10.83619283	10.95667962	11.11654274	9.561730074	9.804312451	9.971890239	9.561792086	9.804312451	10.04528655	-1.276980667	-1.150262128	-1.144481368	-1.276931526	-1.150262128	-1.071180484	1.62975	1.30625	1.181666667	7.396931231	-3.720789671
13/01/12	3.228727141	3.596558552	3.793164392	10.81550165	10.91863218	11.08846738	9.753597658	9.646834883	9.769931874	9.75362434	9.646834883	9.858016421	-1.049302099	-1.269524665	-1.318257065	-1.049281366	-1.269524665	-1.230441155	1.5	1.5	1.488666667	7.384839252	-3.706540401
