week	dk1_price_vol	dk1_load_vol	dk1_wind_vol	dk1_pen_vol	dk1_exim_vol	dk1_load	dk1_wind	dk1_pen	dk1_exim
1	1.840293385	5.626508962	6.215879407	-1.441648189	5.635101694	7.900546187	6.657086051	-1.155917487	0.878478571
2	1.867734643	5.344635941	5.738269931	-2.087911828	6.013728363	7.878376355	6.799593224	-1.025468271	0.608059524
3	1.275852067	5.468798935	5.711211672	-2.028866386	5.891817529	7.89220965	6.371041884	-1.467743862	0.575644643
4	1.719993173	5.333176856	5.974208901	-2.064587394	5.941217091	7.897577456	6.259854576	-1.618741945	0.760316071
5	0.984886183	5.400904729	5.922341415	-1.964159644	5.740941079	7.894269236	6.386107417	-1.473581326	0.927447024
6	1.441868421	5.61179825	5.767495521	-2.143883724	6.049877844	7.895555712	5.892498885	-1.989463904	0.708596429
7	1.817955898	5.474292354	5.467408605	-2.268649205	5.524987551	7.88636108	6.295584436	-1.547954426	1.092079167
8	1.456480045	5.557498673	5.213882589	-2.550850744	4.86	7.856208909	6.209176708	-1.601734383	1.32
9	1.410787004	5.420005989	5.8481189	-2.002967232	4.205727338	7.830442178	6.353241039	-1.442063952	1.292619048
10	2.022105138	5.505096025	6.168135619	-1.516177679	4.802626067	7.839481037	6.293958259	-1.464633025	1.174783929
11	1.320602254	5.591446498	5.397305164	-2.364687619	4.532052503	7.797279046	6.428653242	-1.357337153	1.205357738
12	2.018519599	5.374095006	5.530955615	-2.064918208	4.654615214	7.753775538	6.281276047	-1.449545519	1.045204167
13	1.090637666	5.546962356	5.30675202	-2.032929595	4.692764974	7.638719945	6.783547632	-0.817791053	1.078753571
14	1.000474164	5.575576889	5.417269559	-2.391750497	5.449266313	7.672948997	6.275400773	-1.397561633	0.865103571
15	1.324444616	5.43234295	6.228865192	-1.368004596	5.414691443	7.699718392	6.48804635	-1.155538187	0.541807738
16	2.011446082	5.515104288	5.460620964	-2.414151302	5.518923384	7.701251331	6.392036752	-1.340245838	0.577830952
17	1.328927063	5.542743414	5.327137133	-2.437986514	5.728282549	7.651971771	6.204269121	-1.452069478	0.44175
18	0.820675532	5.459554579	6.161591305	-1.610477385	5.131131942	7.69277872	6.387700691	-1.333846886	0.641907738
19	2.42005709	5.520980079	5.802097199	-1.667013478	5.395984727	7.650913533	6.437694505	-1.181279692	0.550292857
20	1.975723676	5.462415018	5.587265809	-1.995530063	6.258819231	7.68514239	6.3417336	-1.319682738	-0.385197024
21	2.27378115	5.439074113	6.273331559	-1.394210036	5.869027949	7.657859299	6.62417589	-0.996134087	-0.080155952
22	1.37894855	5.45145444	5.668158769	-2.046074509	5.717168962	7.674523493	5.795025955	-1.888947599	-0.132832738
23	2.297949422	5.421518437	6.399692519	-1.089669488	5.453284489	7.695757991	6.398882113	-1.178555747	-0.009634524
24	1.260914563	5.455794317	5.911605892	-1.776392675	5.655011294	7.702706659	6.153821261	-1.517437192	0.245371429
25	1.494427249	5.466049889	5.150662403	-2.406654125	5.165277135	7.703775957	5.54434004	-2.125322846	-0.004044643
26	0.816772057	5.426965343	5.077532984	-2.791924463	5.682761612	7.701143644	5.382882798	-2.346471888	-0.345779762
27	1.26292063	5.798547959	5.193382242	-2.650600411	5.771026187	7.686039313	5.700144914	-2.008523287	-0.245869048
28	0.86134713	5.358839637	5.531281916	-2.125495984	5.607387387	7.602344871	6.155287685	-1.459539617	-0.156155952
29	1.303091739	5.064245477	4.974621813	-2.484203852	6.041549977	7.548430526	5.76507914	-1.764304571	-0.299516667
30	1.622236165	4.965960562	6.059474162	-1.523480921	5.870301	7.550673761	6.173934902	-1.383701125	-0.255275595
31	0.897237664	5.054857561	4.360674197	-3.308692705	5.5441224	7.579806496	4.891914319	-2.707225727	-0.2608375
32	0.433514329	5.390138905	4.793307192	-2.758474375	5.553181009	7.647842841	5.628134856	-1.996540193	-0.041038095
33	0.953559798	5.512714656	5.783928873	-1.966332961	5.689433028	7.683041869	6.6103515	-1.053963186	0.155781548
34	1.675559597	5.438339161	6.521901819	-1.222230938	6.071711593	7.663857697	6.806796437	-0.864911596	-0.142984524
35	-0.26992489	5.407619997	5.473991014	-2.259677594	5.364517276	7.677877279	5.749449854	-1.96170337	-0.092547619
36	0.532821386	5.409774044	6.220148041	-1.589574669	5.694867926	7.697888723	6.526416421	-1.197570777	0.23379881
37	1.086658762	5.41650409	6.155927897	-1.493084415	6.191834998	7.699125061	7.047206614	-0.613292317	0.611614881
38	0.845226431	5.460561332	5.45821331	-2.137185361	5.790025397	7.715022711	5.976562393	-1.713074678	-0.029407143
39	1.485036323	5.268402164	6.046496928	-1.480229103	6.469226525	7.731844565	6.678881053	-0.988358534	0.189453571
40	0.695368144	5.387865204	6.090246389	-1.667834239	6.001908189	7.73524342	6.424955846	-1.299222088	-0.005266667
41	1.091162168	5.362972504	5.123768208	-2.637805101	5.848754045	7.751767134	5.350135821	-2.352729878	-0.401817857
42	0.243209788	5.32303965	5.317697653	-2.553924702	5.527120653	7.751989779	6.59012933	-1.16174125	0.474449405
43	1.060674578	5.437830217	5.755394816	-2.114633719	5.494185688	7.777350751	6.457303265	-1.321072351	0.218971143
44	0.844789174	5.525101913	6.25879079	-1.597047809	5.904255263	7.788154796	6.429882675	-1.367554954	0.232705952
45	1.597150043	5.569145359	6.201886351	-1.529668658	5.554958622	7.822442345	6.818683339	-0.969525498	0.443547619
46	0.632070886	5.329306774	5.881915614	-1.998616937	6.118378342	7.837892561	6.261821056	-1.573735531	0.319047024
47	1.77065701	5.394554398	5.636496404	-2.213021073	5.413480995	7.874442594	6.643371119	-1.190272836	0.66250119
48	1.975116326	5.363054238	6.011413387	-2.01993902	5.52961468	7.938589944	6.632762201	-1.294475596	0.735090476
49	2.734067082	5.469238206	6.29151904	-1.503867357	5.714693026	7.930469533	6.402755904	-1.436506386	0.726638095
50	1.647715056	5.331878669	5.233215642	-2.734881944	5.694368619	7.94370876	5.840087794	-2.073748204	1.108710119
51	2.452487293	5.555124347	6.134519038	-1.686901721	5.39431464	7.902377365	6.265708517	-1.578907027	1.34682619
52	1.737451739	5.019465054	5.615979174	-2.129301914	4.304189667	7.873293213	5.872540235	-1.958515743	1.41709
53	1.116551267	4.150241064	5.214991563	-2.528158214	5.954863146	7.673384607	5.894402834	-1.785933434	0.8451
54	2.471399905	5.529388971	6.153713591	-1.613318637	4.722202149	7.913547143	6.801163847	-1.04920596	1.278045833
55	2.27152349	5.614183315	6.137172439	-1.500434135	5.155082809	7.884540652	6.730094273	-1.061729429	1.175044048
56	1.256489419	5.541274272	4.716058953	-2.938645454	4.892994421	7.873865124	5.643615337	-2.130543612	0.9645875
57	1.099124735	5.495077294	5.407193323	-2.397189364	5.325275148	7.873681623	5.970426335	-1.873069731	0.862791071
58	2.513160376	5.531622726	6.265342624	-1.476669883	5.649599802	7.855360091	7.111143059	-0.698842304	0.913433333
59	1.66659538	5.344269294	6.255948853	-1.614944344	5.07934586	7.863012571	6.981907043	-0.851330822	1.13661369
60	1.385155209	5.346561529	6.539658766	-1.358025756	4.320314045	7.888651494	6.965827627	-0.908119611	1.178635119
61	1.455033023	5.707047195	5.577622658	-2.300801562	5.086157815	7.925624383	6.584700952	-1.306975093	1.06101131
62	1.579605542	5.512923038	6.133978893	-1.605891869	5.434400157	7.88594489	5.989736865	-1.798173786	0.735242262
63	0.886844273	5.530638928	6.454724253	-1.478871931	4.569328221	7.845255211	6.897825186	-0.978005892	1.015943452
64	1.466434291	5.570229905	5.775521761	-2.113712276	5.589580279	7.814969227	6.451523054	-1.364542054	0.919245833
65	0.970337922	5.563192307	6.035832536	-1.814499021	3.953997826	7.762959303	6.752200837	-1.033969575	1.049294048
66	0.921744914	5.421226014	5.852725891	-1.919229762	5.51454326	7.745064645	6.469222631	-1.251774779	0.84710119
67	1.56341252	5.491873207	6.582367046	-1.224293319	5.225778668	7.736288901	7.069671646	-0.683943465	0.849510714
68	0.95469343	5.583715425	6.378262044	-1.464275351	6.288408651	7.737263179	6.473192334	-1.267273666	0.165217857
69	1.977760079	5.481891546	5.550539341	-1.95603851	5.86470322	7.617542997	5.688467382	-1.843694838	-0.610788095
70	1.828978795	5.62315377	5.372750808	-2.383927728	6.28170372	7.635321139	6.07130119	-1.571769589	-0.126057143
71	1.575812283	5.389987209	6.043961657	-1.441797321	6.373612276	7.704720715	6.320125745	-1.305194183	-0.06103631
72	0.275530936	5.408211359	5.706125466	-1.933068946	6.082344152	7.710605319	6.101865908	-1.563697446	-0.115017262
73	-0.104141371	5.635095407	5.691150827	-2.018418029	5.607475261	7.65928367	6.404362282	-1.265975227	0.019332143
74	0.557600251	5.416879605	5.769203042	-1.881429866	6.196392344	7.6808023	7.106513432	-0.564500969	0.12478631
75	1.011257618	5.484239658	5.380460064	-2.382937975	5.838674782	7.617373212	5.951448279	-1.659540766	-0.300091667
76	1.538694253	5.56388522	5.260632617	-2.496953757	5.71376107	7.681340693	5.706991606	-1.958125798	-0.643490476
77	2.260162316	5.416249551	5.073522531	-2.658161452	5.479678142	7.646265556	6.088626367	-1.555891255	-0.485556548
78	1.486612054	5.44509387	5.844626538	-1.819185001	4.2251436	7.673007151	6.558096481	-1.113393091	-0.489295833
79	1.999003876	5.463639222	5.696762905	-2.05974123	5.670691841	7.666645612	6.562057282	-1.078736608	-0.9205875
80	1.466356949	5.53411104	4.987534859	-2.611785423	5.3299528	7.681096255	5.443473636	-2.170273938	-1.260820238
81	1.416937681	5.472659341	5.750598775	-1.788528606	6.010222723	7.62982826	6.304394392	-1.274641858	-0.624756548
82	2.169053931	4.902465084	5.383723703	-2.25347302	5.880592541	7.556695526	6.12323658	-1.427271042	-0.637647024
83	1.570674312	4.863963825	5.004096923	-2.524934731	5.579104098	7.554724506	5.292227432	-2.227454252	-1.351610714
84	2.035488428	5.193537222	6.026355149	-1.438454102	5.878377155	7.601622438	5.989214995	-1.561202881	-0.966501786
85	1.629761951	5.350063566	6.097198438	-1.633943699	5.853824349	7.664385737	6.443818921	-1.216673863	-0.910977381
86	0.575275304	5.398820317	5.554621496	-2.040838996	5.313781347	7.682940428	6.078092666	-1.57255568	-1.290073214
87	1.87365578	5.303157558	5.622183933	-1.943859546	5.821896944	7.692689123	6.155249788	-1.478832142	-1.337458333
88	1.746874513	5.502297633	6.362430547	-1.393664343	5.601318691	7.719571346	6.469490229	-1.233728368	-1.210789881
89	2.108433265	5.308502809	6.190426065	-1.646801476	5.588651896	7.722327005	6.612017033	-1.133392487	-1.213542262
90	1.464505218	5.364498507	6.448164699	-1.349390801	6.137459969	7.736530611	6.873040589	-0.876154419	-0.922794643
91	1.786343833	5.460489324	5.792544713	-2.088065517	5.086796295	7.747763882	6.364269123	-1.410893356	-1.423910714
92	1.774016433	5.438642395	4.919936609	-2.90270534	4.302864569	7.734915507	5.455829736	-2.257689141	-1.006448214
93	1.568767099	5.299845154	5.815915244	-1.917270588	5.041642578	7.751119392	7.1684469	-0.561599492	-0.689244048
94	1.997943551	5.364123342	6.270273246	-1.545033877	4.456904578	7.766706908	6.539646166	-1.205863634	-0.897369643
