date	op1_dk2_price	op2_dk2_price	p_dk2_price	op1_dk2_load	op2_dk2_load	p_dk2_load	op1_dk2_wind	op2_dk2_wind	p_dk2_wind	op1_dk2_pen	op2_dk2_pen	p_dk2_pen	op1_dk2_exp	op2_dk2_exp	p_dk2_exp
01/01/2010	3.666154436	3.699262859	3.699159764	7.277852243	7.450515521	7.480616294	4.820281566	4.68905167	5.034785754	-2.452187724	-2.758715452	-2.427299081	0.4971625	0.27095	0.222716667
02/01/2010	3.679870243	3.793914917	3.993771949	7.294292377	7.483666149	7.62535114	4.895037369	5.056245805	5.108467543	-2.396607544	-2.429327024	-2.507418966	0.481325	0.05595	0.1563
03/01/2010	3.704875827	3.760618551	3.837371296	7.246724396	7.517113159	7.605392365	4.17438727	4.154969184	3.54577861	-3.067780184	-3.339675332	-4.046462887	0.6871125	0.52395	0.3886
04/01/2010	3.748150219	3.865036214	4.533396666	7.407545233	7.603773335	7.75100926	5.298942171	4.521788577	5.580986897	-2.104901401	-3.091759134	-2.167501548	0.8836125	0.679175	0.531833333
05/01/2010	3.759774682	3.85682737	4.177254949	7.453996308	7.614928631	7.823679277	4.798884927	4.366278278	4.389291846	-2.620613601	-3.245788891	-3.433714842	0.6812125	0.605675	0.31705
06/01/2010	3.781259208	3.853652092	3.999606441	7.419530452	7.671943233	7.750794082	4.905274778	4.317488114	4.254429978	-2.484230708	-3.344909595	-3.496221514	0.90965	0.440575	0.374391667
07/01/2010	4.07388672	4.190260619	5.227894902	7.419530452	7.671943233	7.750794082	4.643188253	3.979681654	4.386184645	-2.76888029	-3.692447909	-3.362750377	0.8134375	0.4607	0.527925
08/01/2010	5.153623909	4.162003211	6.130255003	7.467728146	7.633611634	7.759436376	4.505349851	5.789960171	5.330703882	-2.957166994	-1.834147722	-2.429519228	1.0498875	0.964325	0.760841667
09/01/2010	3.832979798	3.818536162	3.979541457	7.293782693	7.51874293	7.621889026	6.045005314	6.37331979	6.324060232	-1.246292029	-1.140889074	-1.295446186	1.3521875	0.895075	0.955208333
10/01/2010	3.81195402	3.82999917	3.881684066	7.363358848	7.554334824	7.652466551	6.425476619	6.277582898	6.376301687	-0.936263838	-1.272408404	-1.269590222	1.2169	0.961025	0.8391
11/01/2010	4.05910591	3.854393893	4.775454305	7.408757814	7.66082095	7.739685662	6.202029316	5.754950761	6.065140878	-1.187345572	-1.904153246	-1.67255858	1.2476375	0.682575	0.47205
12/01/2010	3.853042344	3.835303935	4.176001351	7.617943925	7.646831391	7.677631992	4.961970122	5.151845463	4.615120517	-2.650330934	-2.488254457	-3.05725728	0.854675	0.847325	0.108766667
13/01/2010	3.856589574	3.880635532	4.016383021	7.386858011	7.566957803	7.773419161	5.523458921	6.025261927	5.995207533	-1.856482703	-1.534030997	-1.778473381	1.26605	1.09915	0.647141667
14/01/2010	3.856589574	3.881718425	4.120797143	7.384920701	7.566957803	7.759400817	5.926259137	5.107459479	5.714007795	-1.43578228	-2.462437819	-2.039553419	1.394475	0.942275	0.603166667
