BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
02.04.2013;11:00;UTC;02.04.2013;14:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;267;300;800;50Hertz;PSE;Jänschwalde, Schkopau;Konventionell
04.04.2013;00:30;UTC;04.04.2013;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;90;90;495;TransnetBW;TenneT DE;EnBW Trading GmbH;Sonstiges
04.04.2013;00:30;UTC;04.04.2013;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;88;90;485;TenneT DE;TenneT DE;Mehrum;Konventionell
05.04.2013;11:30;UTC;05.04.2013;17:15;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;288;TenneT DE;TenneT DE;Mehrum;Konventionell
06.04.2013;00:00;UTC;06.04.2013;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;79;100;475;TenneT DE;TenneT DE;Mehrum;Konventionell
06.04.2013;00:45;UTC;06.04.2013;04:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;100;100;325;TenneT DE;TenneT DE;Statkraft KW-Pool;Konventionell
06.04.2013;04:00;UTC;06.04.2013;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;50;50;100;TenneT DE;TenneT DE;Statkraft KW-Pool;Konventionell
06.04.2013;23:45;UTC;07.04.2013;03:00;UTC;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;5;5;16;TenneT DE;TenneT DE;EGC KW-Pool;Konventionell
06.04.2013;23:45;UTC;07.04.2013;03:00;UTC;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;5;5;16;TenneT DE;TenneT DE;Waldeck 5;Sonstiges
07.04.2013;21:45;UTC;07.04.2013;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;90;90;22;TenneT DE;TenneT DE;Mehrum;Konventionell
07.04.2013;22:00;UTC;08.04.2013;01:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;66;90;199;TenneT DE;TenneT DE;Mehrum;Konventionell
08.04.2013;02:00;UTC;08.04.2013;06:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;72;90;288;TenneT DE;TenneT DE;Mehrum;Konventionell
09.04.2013;14:15;UTC;09.04.2013;17:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;97;110;268;TenneT DE;TenneT DE;Kiel;Konventionell
09.04.2013;15:00;UTC;09.04.2013;17:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;170;190;340;TransnetBW;TenneT DE;EnBW Trading GmbH;Sonstiges
13.04.2013;04:45;UTC;13.04.2013;16:15;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;493;800;5668;TenneT DE;50Hertz & TenneT DE;Irsching 5;Konventionell
13.04.2013;06:00;UTC;13.04.2013;16:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;530;800;5300;50Hertz;TenneT DE;Boxberg, Jänschwalde, Lippendorf, Schkopau, Schwarze Pumpe;Konventionell
13.04.2013;15:00;UTC;13.04.2013;16:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;50;50;50;TenneT DE;50Hertz & TenneT DE;Statkraft KW-Pool;Konventionell
13.04.2013;22:15;UTC;14.04.2013;17:30;UTC;Spannungsbedingter Redispatch;Wirkleistungseinspeisung erhöhen;240;250;4616;TenneT DE;TenneT DE;Irsching 5;Konventionell
13.04.2013;23:45;UTC;14.04.2013;06:45;UTC;Spannungsbedingter Redispatch;Wirkleistungseinspeisung reduzieren;4;4;28;TenneT DE;TenneT DE;Waldeck 5;Sonstiges
14.04.2013;10:45;UTC;14.04.2013;14:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;248;248;806;TenneT DE;TenneT DE;Waldeck 6;Sonstiges
14.04.2013;11:30;UTC;14.04.2013;14:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;248;248;620;50Hertz;TenneT DE;Schkopau;Konventionell
15.04.2013;20:30;UTC;15.04.2013;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;85;90;128;TenneT DE;TenneT DE;Mehrum;Konventionell
15.04.2013;22:00;UTC;15.04.2013;22:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;20;25;10;TenneT DE;TenneT DE;Mehrum;Konventionell
16.04.2013;18:45;UTC;16.04.2013;19:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;120;120;90;TenneT DE;TenneT DE;EGC KW-Pool;Konventionell
16.04.2013;18:45;UTC;16.04.2013;20:15;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;110;120;165;TenneT DE;TenneT DE;Kiel;Konventionell
18.04.2013;05:00;UTC;18.04.2013;13:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;154;386;1236;TenneT DE;50Hertz & TenneT DE;Ingolstadt 4;Konventionell
18.04.2013;06:00;UTC;18.04.2013;15:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;278;300;2500;TransnetBW;TenneT DE;EnBW KW-Pool;Sonstiges
