week	de_price_vol	de_load_vol	de_wind_vol	de_solar_vol	de_res_vol	de_wind_pen_vol	de_solar_pen_vol	de_res_pen_vol	de_exim_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_exim
1	2.186036895	8.356141518	8.416118828	5.650139938	8.438731752	-2.554759112	-5.245912177	-2.521619504	6.677407455	10.85964552	9.681786743	6.112406939	9.709570496	-1.153278706	-4.844995645	-1.128655204	0.203078125
2	1.354204624	8.500899124	8.61055431	5.720187347	8.615048725	-2.406555279	-5.04443905	-2.409790295	6.85582727	10.94537978	9.185000439	6.566826251	9.25539917	-1.758971004	-4.425259112	-1.691770629	1.187136905
3	2.455821776	8.680599873	8.577831552	6.35861475	8.492990065	-2.136207575	-4.817141707	-2.180647228	6.640415464	10.9729015	9.219756319	6.704046093	9.297462917	-1.673468531	-4.402376883	-1.610220976	0.853678571
4	0.935210268	8.577177714	7.626892168	6.131392975	7.74988803	-3.378697671	-5.04375328	-3.295032367	6.95402975	10.97307758	8.367266142	6.869829415	8.569147517	-2.584782751	-4.202800623	-2.403886085	0.176738095
5	1.991242037	8.288530371	7.808334948	5.734139736	7.716796512	-3.212794539	-4.975785452	-3.305759334	5.814344016	11.01621366	8.577870473	7.410388004	8.848774542	-2.427984533	-3.666231217	-2.173426004	2.367297619
6	2.866296567	8.573639691	7.172015817	5.642741801	6.999968256	-4.046917378	-5.076513588	-4.241679132	5.221902784	11.05423456	8.190877238	7.371325105	8.555957029	-2.870885477	-3.731910132	-2.518308823	2.750297619
7	2.853520973	8.801695375	8.469318301	5.712021419	8.492452349	-2.402262088	-4.918167407	-2.355154676	6.139763379	10.98222375	9.1182681	6.809185641	9.212989351	-1.808638243	-4.21028502	-1.721938954	1.942886905
8	1.142266623	8.689663546	8.328671223	6.563657293	8.260357255	-2.640775653	-4.528398247	-2.722241996	5.901450223	10.92278389	9.326484526	7.447080406	9.46857511	-1.58154285	-3.564769719	-1.4526006	1.968511905
9	1.495933752	8.623651732	7.497838753	6.709498634	7.382581968	-3.464912154	-4.176030175	-3.435441791	5.349864722	10.92740943	8.390555912	7.455112185	8.721593194	-2.516022524	-3.538931714	-2.208870655	2.340136905
10	1.658254009	8.727524537	7.43003809	6.743274742	7.034659113	-3.084759439	-4.541510652	-3.255409556	5.505827797	10.91994343	8.825227206	7.789823349	9.129089876	-2.042306401	-3.249087427	-1.780589488	2.423666667
