date	dk1_price_vol	dk1_load	dk1_wind	dk1_wind_pen	dk1_op1_exim	dk1_op2_exim	dk1_p_exim
01/01/10	2.003273242	7.638077813	5.887145156	-1.751857634	1.3616875	1.37	1.364591667
02/01/10	1.806927291	7.710130487	6.379557405	-1.338086325	1.3161125	-0.28	0.0989
03/01/10	1.566270348	7.670642274	4.934174128	-2.701230765	1.2575	0.56695	0.431258333
04/01/10	1.908496309	7.96025091	5.534212602	-2.36266869	1.20095	1.06505	0.351291667
05/01/10	1.954027989	8.010345755	6.401571642	-1.636922525	1.223175	1.15095	0.186133333
06/01/10	2.039573146	7.938475281	6.671241493	-1.215916545	1.3075	-0.3928	0.375291667
07/01/10	2.506850046	7.939500411	5.874345354	-1.988486863	1.19905	0.223075	0.407091667
08/01/10	2.167701696	7.959392422	6.165330315	-1.800386392	1.066	1.37	0.688533333
09/01/10	2.417092395	7.726378054	7.079359892	-0.655482964	1.37	1.37	1.162425
10/01/10	2.799601372	7.730083256	7.486403089	-0.227067673	1.37	1.3382	1.261991667
11/01/10	2.814536917	7.915180819	7.008166065	-0.841866166	1.295	0.9901	0.216233333
12/01/10	2.615761206	7.924268349	6.452837287	-1.432491959	0.8395125	0.89555	-0.5594
13/01/10	1.822407667	7.937077033	7.053369628	-0.871925077	1.145	1.03065	-0.2499
14/01/10	2.477652641	7.933557898	6.878626801	-0.993570444	1.231925	0.3028	-0.324883333
15/01/10	2.368182367	7.921460037	5.872587163	-2.007913702	0.95715	0.887525	-0.338291667
16/01/10	1.363878663	7.777949715	7.180165072	-0.612553679	1.3140125	1.37	1.37
17/01/10	2.538679989	7.715718134	6.614613887	-0.977770705	1.37	0.7365	0.892966667
18/01/10	2.190529879	7.945496388	4.215209264	-3.644931737	0.7390125	0.20845	-0.5218
19/01/10	2.165008536	7.944935328	5.494945812	-2.404321046	1.0899625	0.7042	-0.187008333
20/01/10	1.987201526	7.959625305	6.697805555	-1.269812906	1.145	1.3456	-0.060508333
21/01/10	2.172920603	7.951295212	6.249894801	-1.675467443	1.145	0.8655	-0.3217
22/01/10	1.923108322	7.929951378	6.531059827	-1.38505615	1.145	1.07555	-0.072366667
23/01/10	1.935641199	7.758315669	6.694097842	-1.073405488	1.37	0.972375	0.713075
24/01/10	2.199840404	7.726598549	6.866064852	-0.829180545	1.37	1.172775	1.058533333
25/01/10	2.363127161	7.937077033	6.068329133	-1.769464091	1.1976	1.246825	-0.018641667
26/01/10	2.596062604	7.946882921	4.069026754	-3.79470639	1.1113625	-0.052525	-0.180933333
27/01/10	2.237568998	7.983326369	7.19331009	-0.830198976	0.6951125	1.37	0.73065
28/01/10	2.318375223	7.926993618	6.726682942	-1.138486294	1.237175	1.25695	0.675675
29/01/10	2.57194126	7.921172722	5.835784921	-1.989963925	1.15695	0.807875	-0.563475
30/01/10	2.326508517	7.789195733	5.923810065	-1.738592466	1.37	1.222175	0.919825
31/01/10	1.662234794	7.756730304	5.671603576	-2.076350777	1.37	1.37	1.248758333
01/02/10	2.504487845	7.948679602	5.625971072	-2.276774619	1.221275	0.8968	-0.141625
02/02/10	1.883374219	7.959013871	6.943484326	-0.980313317	1.2785875	1.32	1.125375
03/02/10	2.443958408	7.949606134	6.534394275	-1.316961064	1.245	1.0947	0.277708333
04/02/10	2.265930222	7.960090909	5.332316136	-2.594183649	1.14095	1.09975	-0.075683333
05/02/10	2.074783046	7.900621175	6.992211311	-0.911745151	1.31855	1.32	0.824358333
06/02/10	1.953125104	7.757086784	6.6357825	-1.090353962	1.32	1.226475	1.151925
07/02/10	1.796309802	7.759685252	4.559562453	-3.093534588	1.32	1.32	1.166716667
08/02/10	2.414038204	7.955074273	3.410872647	-4.498238798	0.87	0.61995	-0.4898
09/02/10	2.552270095	7.965646841	3.859852133	-4.041542897	1.10315	0.47865	-0.494883333
10/02/10	2.124190325	7.964025321	6.565734343	-1.441280379	1.095	1.1026	-0.0494
11/02/10	2.32633197	7.973571726	5.266138468	-2.634179142	1.2321	1.095	0.076408333
12/02/10	2.243460439	7.928060621	6.729027258	-1.231977981	1.245	1.32	0.651808333
13/02/10	2.056425248	7.729423928	6.423111673	-1.275626657	1.32	1.32	1.12
14/02/10	1.981507746	7.714138135	4.626605467	-3.00965288	1.32	1.32	1.23065
15/02/10	2.457681032	7.94301353	4.77139059	-3.163993081	1.2798375	1.1314	-0.036741667
16/02/10	2.207759012	7.96586381	6.078692914	-1.898387462	1.32	1.31615	0.738825
17/02/10	2.364575506	7.946971358	6.40281508	-1.525549864	1.32	1.261675	0.5234
18/02/10	2.371263629	7.946189895	6.638622325	-1.291277515	1.32	1.32	0.973991667
19/02/10	1.862212759	7.897110582	5.995518817	-1.935080064	1.32	1.32	1.32
20/02/10	2.191092269	7.745345458	6.802394763	-0.956904733	1.32	1.32	1.32
21/02/10	2.359700471	7.730339544	6.348191573	-1.288086257	1.32	1.32	1.32
