date	op1_dk1_price	op2_dk1_price	p_dk1_price	op1_dk1_load	op2_dk1_load	p_dk1_load	op1_dk1_wind	op2_dk1_wind	p_dk1_wind	op1_dk1_pen	op2_dk1_pen	p_dk1_pen	op1_dk1_exp	op2_dk1_exp	p_dk1_exp
01/01/2010	3.403070626	3.656614494	3.618054548	7.509677673	7.673223121	7.704248447	5.523458921	5.907403359	6.066494713	-1.982320574	-1.76135205	-1.620502597	1.3616875	1.37	1.364591667
02/01/2010	3.636697607	3.747973493	3.794139965	7.526111562	7.681329709	7.824812384	6.125503623	6.091875333	6.588926478	-1.403829903	-1.597612633	-1.225996143	1.3161125	-0.28	0.0989
03/01/2010	3.634984093	3.696785618	3.774846884	7.45007957	7.715346594	7.78103412	5.039384707	5.184588601	4.74927053	-2.404203936	-2.523644573	-3.051277159	1.2575	0.56695	0.431258333
04/01/2010	3.565687284	3.73301595	3.833881268	7.704135714	7.909489493	8.114798365	5.619041246	5.566434284	5.461710913	-2.061357275	-2.317931283	-2.649912461	1.20095	1.06505	0.351291667
05/01/2010	3.723582768	3.665482876	3.932821868	7.783432328	7.926602599	8.160589673	5.049054404	7.054665524	6.573098061	-2.73330925	-0.863101453	-1.58375677	1.223175	1.15095	0.186133333
06/01/2010	3.592506209	3.849083206	3.895503981	7.70852292	7.869210563	8.086256417	6.79933453	6.416323702	6.655011258	-0.884528013	-1.44658703	-1.430679811	1.3075	-0.3928	0.375291667
07/01/2010	3.65341418	3.849988015	4.102615816	7.712387929	7.869210563	8.086256417	6.161998148	5.411646052	5.770402162	-1.51704583	-2.449494209	-2.314794754	1.19905	0.223075	0.407091667
08/01/2010	3.731879076	3.674400133	3.956342875	7.732424021	7.889084407	8.106087203	5.692890033	6.43895093	6.301702805	-2.043905707	-1.438917245	-1.801442084	1.066	1.37	0.688533333
09/01/2010	3.271373394	3.694302224	3.742933517	7.530345866	7.694961857	7.847697431	6.646715137	7.387090236	7.187342174	-0.883831098	-0.301108715	-0.661159981	1.37	1.37	1.162425
10/01/2010	2.707716812	3.783223258	3.605180766	7.585788822	7.665167506	7.834920007	7.528197349	7.33351309	7.50503379	-0.054305478	-0.328625654	-0.32526709	1.37	1.3382	1.261991667
11/01/2010	3.375922308	3.734987453	4.045518981	7.674094834	7.856706793	8.065108063	7.185576392	6.639222025	6.981238056	-0.453062517	-1.213644135	-1.081790161	1.295	0.9901	0.216233333
12/01/2010	3.74817967	3.745496055	4.174823072	7.705093542	7.815408817	8.077498892	6.382450334	6.538863151	6.46808685	-1.292961127	-1.266354172	-1.606926417	0.8395125	0.89555	-0.5594
13/01/2010	3.603525793	3.710212772	3.85724998	7.721847159	7.857093865	8.080933768	6.788408521	7.250458065	7.132697212	-0.92333214	-0.599521997	-0.945535751	1.145	1.03065	-0.2499
14/01/2010	3.544467655	3.830487517	4.043445927	7.708691274	7.857093865	8.080933768	7.137477146	6.060290738	6.86788769	-0.5402208	-1.802786545	-1.213533845	1.231925	0.3028	-0.324883333
15/01/2010	3.698891664	3.73474869	4.068029106	7.718574378	7.840903128	8.05967134	5.765191103	6.142037406	5.836758157	-1.913845663	-1.690690119	-2.218872858	0.95715	0.887525	-0.338291667
16/01/2010	3.559624618	3.5085559	3.668166413	7.619724214	7.747704778	7.880048201	6.663132696	7.463363046	7.328601489	-0.958049981	-0.281306435	-0.550656764	1.3140125	1.37	1.37
17/01/2010	2.897981618	3.77648961	3.723743737	7.518267854	7.73280753	7.823412477	7.306027917	4.151039906	6.169261997	-0.206897471	-3.586959746	-1.604443939	1.37	0.7365	0.892966667
18/01/2010	3.704260556	3.797509619	3.970967786	7.686678699	7.873121849	8.107017004	4.307437778	4.566948973	3.985892854	-3.338958548	-3.293425809	-4.121408522	0.7390125	0.20845	-0.5218
19/01/2010	3.606991295	3.78747967	3.964314968	7.732697971	7.834985951	8.095242947	5.471219701	5.614951261	5.467708462	-2.232490076	-2.207481152	-2.624345834	1.0899625	0.7042	-0.187008333
20/01/2010	3.617987459	3.697095609	3.901938999	7.729295674	7.882692206	8.109625875	6.401087665	6.59441346	6.8833772	-1.332788814	-1.286789767	-1.224552336	1.145	1.3456	-0.060508333
21/01/2010	3.590646256	3.752675512	3.964789381	7.763605747	7.860956365	8.084844948	6.106187349	6.349575959	6.302771589	-1.624367104	-1.504213755	-1.777739681	1.145	0.8655	-0.3217
22/01/2010	3.615098352	3.725874134	3.879207071	7.737234614	7.827440244	8.069133686	6.460686621	6.346513169	6.627710634	-1.266308155	-1.481251326	-1.440025994	1.145	1.07555	-0.072366667
23/01/2010	3.494611826	3.718377575	3.807476973	7.587437209	7.719462971	7.869338	6.276878424	6.945532643	6.818195202	-1.314915952	-0.768914891	-1.049303384	1.37	0.972375	0.713075
24/01/2010	3.31232063	3.737431495	3.689441796	7.509814603	7.747704778	7.842442421	6.906379333	6.597486708	6.915888779	-0.599237166	-1.148375763	-0.913936709	1.37	1.172775	1.058533333
25/01/2010	3.602742695	3.781002743	4.047165599	7.694108154	7.853216388	8.094607356	6.431733577	5.252273428	5.956053236	-1.211540428	-2.606763005	-2.139060616	1.1976	1.246825	-0.018641667
26/01/2010	3.684055337	3.880532338	4.186328509	7.736798242	7.853216388	8.091958955	4.088074949	4.579852378	3.801091445	-3.596259969	-3.247875734	-4.287245683	1.1113625	-0.052525	-0.180933333
27/01/2010	3.799833671	3.543203182	3.884908713	7.799343398	7.888803258	8.1161931	6.280629894	7.375882148	7.480193272	-1.546872324	-0.515618757	-0.633107215	0.6951125	1.37	0.73065
28/01/2010	3.379377722	3.713754977	3.831608006	7.7225115	7.8671055	8.060355838	7.000562329	6.316713321	6.623622456	-0.69561873	-1.550965683	-1.437943662	1.237175	1.25695	0.675675
29/01/2010	3.569603117	3.746027451	4.102271395	7.75870717	7.787589474	8.053648657	5.635682062	6.653507983	5.47785728	-2.046685155	-1.119723853	-2.544624652	1.15695	0.807875	-0.563475
30/01/2010	3.284523106	3.70512183	3.847982138	7.621501338	7.785409127	7.888303242	6.715686371	5.364807108	4.838264068	-0.889686234	-2.406514032	-3.044169483	1.37	1.222175	0.919825
31/01/2010	3.605361966	3.699881212	3.658613527	7.596141142	7.770328728	7.846883245	5.613128106	5.892334581	5.626121188	-1.980996127	-1.882106312	-2.225040655	1.37	1.37	1.248758333
01/02/2010	3.529334041	3.724367247	4.008226725	7.720184371	7.878534196	8.096030519	5.473845064	5.932908098	5.599963979	-2.219692115	-1.894234629	-2.493062479	1.221275	0.8968	-0.141625
02/02/2010	3.582580999	3.685436032	3.791059919	7.754267116	7.874644064	8.099123984	6.838405201	7.167423605	6.926168052	-0.886020677	-0.691089036	-1.175985093	1.2785875	1.32	1.125375
03/02/2010	3.431807411	3.76688162	3.954395797	7.752120271	7.890956716	8.079282368	6.979494376	5.850764665	6.300326974	-0.722760812	-2.055294414	-1.774284298	1.245	1.0947	0.277708333
04/02/2010	3.664810866	3.759279668	4.019022178	7.786603715	7.866434777	8.087589067	4.603919404	6.226042476	5.185521872	-3.161286162	-1.620028304	-2.896759042	1.14095	1.09975	-0.075683333
05/02/2010	3.497227	3.700622731	3.85366976	7.734504162	7.780825308	8.031358239	6.610527794	7.038344849	7.171016577	-1.117674706	-0.741742119	-0.851305413	1.31855	1.32	0.824358333
06/02/2010	3.515492861	3.77431146	3.834403748	7.587437209	7.741207733	7.860795725	6.835990713	5.918893854	6.658331919	-0.746287753	-1.828674525	-1.195440417	1.32	1.226475	1.151925
07/02/2010	3.490695248	3.78929024	3.78244569	7.572438683	7.782703047	7.860506508	5.216971727	3.917010547	3.939962374	-2.348859022	-3.875676525	-3.906172369	1.32	1.32	1.166716667
08/02/2010	3.748739078	3.880687125	4.073830015	7.729515527	7.880898822	8.10215743	3.26289271	3.881563798	3.295836866	-4.44061786	-3.984679609	-4.80379323	0.87	0.61995	-0.4898
09/02/2010	3.65017111	3.881048201	4.123188438	7.775065829	7.886926909	8.097477018	3.722676834	4.612642201	3.518980417	-4.021527231	-3.252308471	-4.576060788	1.10315	0.47865	-0.494883333
10/02/2010	3.754959755	3.801091445	4.031567452	7.769431418	7.906915489	8.091882455	6.042929702	6.346951285	6.856111046	-1.77933422	-1.56762579	-1.233622557	1.095	1.1026	-0.0494
11/02/2010	3.621603857	3.757472246	4.028130564	7.80888161	7.899988014	8.091244724	5.639688299	4.793722293	5.072043922	-2.121597572	-3.100632532	-3.022990925	1.2321	1.095	0.076408333
12/02/2010	3.622071694	3.713572067	3.976405264	7.777844992	7.821843587	8.047242894	5.87738558	6.831144177	7.026426809	-1.940128628	-0.991718468	-1.010619388	1.245	1.32	0.651808333
13/02/2010	3.503979576	3.762071829	3.824811608	7.550003824	7.712108358	7.838474748	6.606481253	5.891644212	6.426353605	-0.942900255	-1.834166243	-1.404056856	1.32	1.32	1.12
14/02/2010	3.552021105	3.816392774	3.770900972	7.531351397	7.731492029	7.814466944	5.126193635	3.956039891	4.313033763	-2.404180892	-3.772524643	-3.482625612	1.32	1.32	1.23065
15/02/2010	3.682924257	3.762071829	4.127389729	7.708803495	7.879953643	8.091066087	3.803880847	5.651611602	4.712528704	-3.879930095	-2.213948503	-3.371957759	1.2798375	1.1314	-0.036741667
16/02/2010	3.71369401	3.783109505	4.062223035	7.769484223	7.887677871	8.100338467	5.554895694	6.259581464	6.265776385	-2.205071136	-1.623228991	-1.830263504	1.32	1.31615	0.738825
17/02/2010	3.625673378	3.748621333	4.066916267	7.747110969	7.86259342	8.084767902	6.163577927	6.580985818	6.47684415	-1.554484822	-1.276101725	-1.603971443	1.32	1.261675	0.5234
18/02/2010	3.597483479	3.728640886	4.008816932	7.767211074	7.859895664	8.074415548	6.827493797	5.393627546	6.732806477	-0.93265849	-2.476504692	-1.349040643	1.32	1.32	0.973991667
19/02/2010	3.634093224	3.670524528	3.871548173	7.727424972	7.774540591	8.030328205	4.769624741	6.261491684	6.309918278	-2.993177885	-1.507196614	-1.706150139	1.32	1.32	1.32
20/02/2010	3.154550614	3.569532696	3.646971801	7.571216149	7.736852799	7.849128791	6.381392916	6.95248961	6.96374171	-1.190102789	-0.783687846	-0.884000483	1.32	1.32	1.32
